,click_id,ip,app,device,os,channel,ip_app,ip_device,ip_os,ip_channel,app_device,app_os,app_channel,device_os,device_channel,os_channel,hour
click_id,1,0.002201359,0.021393043,0.003234436,0.017738173,-0.010692634,0.017244101,0.002676485,0.013514916,-0.005341531,0.001691392,0.021872066,0.015533861,0.004518775,0.003095157,0.006141426,0.97024178
ip,0.002201359,1,-0.009305644,0.001963419,0.000213302,-0.003812992,0.473070802,0.031821429,0.63983204,0.702396747,0.000911968,-0.005828586,-0.010253868,0.001937733,0.001840191,-0.002177123,0.002415233
app,0.021393043,-0.009305644,1,0.029036195,0.045452135,-0.090234322,0.742835268,0.022761372,0.023496854,-0.062992999,0.080260167,0.76583382,0.846087647,0.021765702,0.026888071,-0.011898934,0.024863234
device,0.003234436,0.001963419,0.029036195,1,0.040584167,-0.001949098,0.024089221,0.899779584,0.030253101,0.000210782,0.701192768,0.048051335,0.023738915,0.765443847,0.968821233,0.031517258,0.003617746
os,0.017738173,0.000213302,0.045452135,0.040584167,1,0.012514258,0.034658965,0.03388051,0.662259605,0.007794054,0.030849522,0.43352181,0.053300016,0.077718176,0.045807975,0.715874675,0.017358139
channel,-0.010692634,-0.003812992,-0.090234322,-0.001949098,0.012514258,1,-0.073112484,-0.001584215,0.005789172,0.611262456,-0.001727986,-0.037728341,0.331515019,0.001918577,0.021681881,0.606144009,-0.013809435
ip_app,0.017244101,0.473070802,0.742835268,0.024089221,0.034658965,-0.073112484,1,0.039229506,0.333811919,0.273267898,0.062323848,0.572679976,0.620511035,0.018306132,0.022282365,-0.011640507,0.020079901
ip_device,0.002676485,0.031821429,0.022761372,0.899779584,0.03388051,-0.001584215,0.039229506,1,0.052044508,0.021168419,0.622031196,0.038570927,0.018552255,0.708774223,0.873368483,0.026246587,0.00297375
ip_os,0.013514916,0.63983204,0.023496854,0.030253101,0.662259605,0.005789172,0.333811919,0.052044508,1,0.456260108,0.022019678,0.282171594,0.028057993,0.058046558,0.033783143,0.471571641,0.013211931
ip_channel,-0.005341531,0.702396747,-0.062992999,0.000210782,0.007794054,0.611262456,0.273267898,0.021168419,0.456260108,1,-0.000431834,-0.027946409,0.194764558,0.002643283,0.014700437,0.370598037,-0.007082964
app_device,0.001691392,0.000911968,0.080260167,0.701192768,0.030849522,-0.001727986,0.062323848,0.622031196,0.022019678,-0.000431834,1,0.100375964,0.06790236,0.53238388,0.678696609,0.024162531,0.001946933
app_os,0.021872066,-0.005828586,0.76583382,0.048051335,0.43352181,-0.037728341,0.572679976,0.038570927,0.282171594,-0.027946409,0.100375964,1,0.690117727,0.076818984,0.05142799,0.287655033,0.023922836
app_channel,0.015533861,-0.010253868,0.846087647,0.023738915,0.053300016,0.331515019,0.620511035,0.018552255,0.028057993,0.194764558,0.06790236,0.690117727,1,0.020706051,0.033518824,0.246649725,0.017499298
device_os,0.004518775,0.001937733,0.021765702,0.765443847,0.077718176,0.001918577,0.018306132,0.708774223,0.058046558,0.002643283,0.53238388,0.076818984,0.020706051,1,0.796321058,0.06307794,0.004621443
device_channel,0.003095157,0.001840191,0.026888071,0.968821233,0.045807975,0.021681881,0.022282365,0.873368483,0.033783143,0.014700437,0.678696609,0.05142799,0.033518824,0.796321058,1,0.051932285,0.003435693
os_channel,0.006141426,-0.002177123,-0.011898934,0.031517258,0.715874675,0.606144009,-0.011640507,0.026246587,0.471571641,0.370598037,0.024162531,0.287655033,0.246649725,0.06307794,0.051932285,1,0.004112389
hour,0.97024178,0.002415233,0.024863234,0.003617746,0.017358139,-0.013809435,0.020079901,0.00297375,0.013211931,-0.007082964,0.001946933,0.023922836,0.017499298,0.004621443,0.003435693,0.004112389,1
